objid,ra,dec,petroMag_u,petroMag_r,extinction_u,extinction_r,spiral,elliptical
1237648721223745639,163.984972203804,-0.157523109591832,19.60773,16.54592,0.1716562,0.09252992,0,1
1237648722297553078,164.230768113096,0.76672275496641,19.26509,16.4184,0.1866094,0.1005904,0,1
1237674650995589210,164.325744633539,0.52349089816366,21.10608,17.86019,0.2305024,0.1242505,0,1
1237648722834686048,164.824374773697,1.153473536349,16.71096,14.16474,0.1328766,0.07162609,0,1
1237674651533049970,165.637760257425,0.992736600901567,18.94703,16.32469,0.1324838,0.07141439,0,1
1237648722834882675,165.257514402483,1.09649967854382,19.56244,16.88784,0.1212331,0.06534974,0,1
1237674651532853399,165.310081277997,0.889168745516506,20.4914,17.69144,0.1171807,0.06316534,0,1
1237648721761271932,165.48139749058,0.305420524905367,20.83697,17.75501,0.125695,0.06775491,0,1
1237674651533050077,165.727165921012,0.903026042968228,20.04807,17.75913,0.1309313,0.07057752,0,1
1237674651533115508,165.831992272861,1.03469136083901,18.97198,16.3905,0.1609099,0.08673725,0,1
1237648722835210472,166.039140634,1.23200964340782,21.54829,17.7709,0.2961702,0.1596483,0,1
1237648721761796219,166.69300843528,0.256691205846062,18.20721,15.57306,0.1861631,0.1003498,0,1
1237648721761730742,166.592796476344,0.377249172527717,18.23245,15.54755,0.1813452,0.09775271,0,1
1237648721225646323,168.427187519771,-0.132116169791617,19.3127,16.32716,0.1952331,0.1052389,0,1
1237674649923682457,168.477834777803,-0.265450176222709,19.32423,16.29664,0.1624361,0.08755989,0,1
1237674649386221814,167.257243741086,-0.816725127246363,18.29022,15.72765,0.1545854,0.08332809,0,1
1237648720151445521,167.311732929282,-0.927930728123985,17.91746,15.34085,0.1405874,0.07578257,0,1
1237648720688447635,167.628638549746,-0.479376843863649,20.39618,17.06628,0.1684178,0.0907843,0,1
1237648720688382139,167.486705840159,-0.574241105227104,18.52471,16.02641,0.1554981,0.08382004,0,1
1237674649386287282,167.385241463075,-0.684351546687061,18.15726,15.60561,0.1587288,0.08556152,0,1
1237648720688316660,167.354872151995,-0.517145978354859,20.73116,17.66739,0.1458929,0.07864244,0,1
1237674649923158181,167.310113041484,-0.240054601900944,19.2655,16.67493,0.1963925,0.1058639,0,1
1237674649923027076,167.066780712341,-0.265880325591645,19.48901,16.92741,0.236462,0.127463,0,1
1237648721225056484,167.045195278363,-0.0831906121388126,18.88439,16.03045,0.1947357,0.1049708,0,1
1237648721225122013,167.251436112646,-0.115695132706552,19.52231,16.66955,0.1784677,0.09620161,0,1
1237648720151183582,166.713091929278,-0.998871966703799,18.56987,15.84469,0.190818,0.102859,0,1
1237648720151183470,166.697789875347,-0.924148490427942,17.40003,14.88691,0.186773,0.1006786,0,1
1237648721224990826,166.905730619348,-0.0272432002562754,17.80479,14.93221,0.2104754,0.1134551,0,1
1237648720688120088,166.875472534794,-0.462887676159444,20.96068,17.38495,0.2181316,0.1175821,0,1
1237648722835406994,166.432652116354,1.22410367511688,20.06078,16.93255,0.2393981,0.1290457,0,1
1237674651533443189,166.612847827781,0.977487184896682,19.66891,16.39516,0.1986677,0.1070903,0,1
1237674651533508793,166.727037234991,0.994746532909823,20.96166,18.02003,0.1949236,0.1050721,0,1
1237648722298798367,167.090436437893,0.822695915770057,18.60283,15.71178,0.1373091,0.07401543,0,1
1237648722298798320,167.047963454647,0.822999709141268,19.70676,16.78827,0.1388727,0.07485825,0,1
1237648722298798203,167.066695855154,0.802416963728975,22.17396,18.47621,0.1366089,0.07363797,0,1
